CustomerID,Recency,Frequency,MonetaryValue,Tenure,Cluster,Segment_Name,Churn_Risk
12420.0,64,29,600.39,64,0,Champions,High
12421.0,16,45,807.04,319,2,Promising,Low
12422.0,96,39,803.5600000000001,325,1,At Risk,Critical
12423.0,1,125,1859.31,354,2,Promising,Low
12424.0,163,30,1760.96,163,1,At Risk,Critical
12425.0,78,36,777.2,78,0,Champions,High
12426.0,195,30,582.73,195,1,At Risk,Critical
12427.0,22,21,522.3,60,0,Champions,Low
12428.0,26,294,7956.46,284,2,Promising,Low
12429.0,9,77,2468.9,228,2,Promising,Low
12430.0,43,11,256.4,43,0,Champions,Medium
12431.0,36,221,6129.2,357,2,Promising,Medium
12432.0,43,108,5059.32,172,2,Promising,Medium
12433.0,1,273,9588.75,91,2,Promising,Low
12434.0,85,50,806.14,260,1,At Risk,High
12435.0,80,36,7829.89,268,2,Promising,High
12436.0,100,16,509.01,100,1,At Risk,Critical
12437.0,2,199,4951.41,331,2,Promising,Low
12438.0,14,98,2906.85,140,2,Promising,Low
12442.0,3,12,172.06,3,0,Champions,Low
12444.0,21,176,5005.46,171,2,Promising,Low
12445.0,22,4,133.4,22,0,Champions,Low
12446.0,58,57,1002.3100000000001,58,0,Champions,Medium
12447.0,243,26,476.49,243,1,At Risk,Critical
12448.0,44,22,449.45,44,0,Champions,Medium
12449.0,22,191,4067.29,187,2,Promising,Low
12450.0,156,8,197.88,173,1,At Risk,Critical
12451.0,11,354,9035.52,325,2,Promising,Low
12452.0,17,22,430.57,17,0,Champions,Low
12453.0,134,43,707.09,134,1,At Risk,Critical
12454.0,56,15,3528.34,56,0,Champions,Medium
12455.0,73,90,2466.86,297,2,Promising,High
12456.0,44,125,3181.04,255,2,Promising,Medium
12457.0,66,62,2363.23,239,2,Promising,High
12458.0,71,38,947.4,285,1,At Risk,High
12461.0,94,35,826.88,155,1,At Risk,Critical
12462.0,19,62,1189.59,303,2,Promising,Low
12463.0,53,83,1344.78,242,2,Promising,Medium
12464.0,10,29,1212.05,309,2,Promising,Low
12465.0,17,47,742.1899999999999,169,2,Promising,Low
12468.0,188,38,729.5400000000001,316,1,At Risk,Critical
12471.0,2,460,19824.05,365,2,Promising,Low
12472.0,32,269,4940.81,318,2,Promising,Medium
12473.0,29,168,3938.5499999999997,192,2,Promising,Low
12474.0,17,424,7375.79,330,2,Promising,Low
12475.0,54,36,723.38,54,0,Champions,Medium
12476.0,16,233,6816.42,361,2,Promising,Low
12477.0,23,300,13219.74,302,2,Promising,Low
12478.0,4,36,680.99,4,0,Champions,Low
12479.0,11,31,527.2,11,0,Champions,Low
12480.0,28,154,3281.63,336,2,Promising,Low
12481.0,23,207,5436.94,354,2,Promising,Low
12483.0,17,75,2484.98,339,2,Promising,Low
12484.0,33,346,4541.72,336,2,Promising,Medium
12488.0,10,55,1298.66,76,2,Promising,Low
12489.0,336,15,334.93,336,1,At Risk,Critical
12490.0,5,245,5417.93,330,2,Promising,Low
12491.0,39,26,460.40000000000003,39,0,Champions,Medium
12492.0,63,20,263.21000000000004,105,1,At Risk,High
12493.0,166,22,433.74,197,1,At Risk,Critical
12494.0,16,74,1188.5,359,2,Promising,Low
12497.0,82,14,1043.1,82,1,At Risk,High
12498.0,21,23,403.70000000000005,58,0,Champions,Low
12500.0,23,61,4257.82,334,2,Promising,Low
12501.0,337,149,2169.39,337,2,Promising,Critical
12502.0,96,147,3723.87,310,2,Promising,Critical
12504.0,18,9,482.04999999999995,30,0,Champions,Low
12506.0,233,23,73.5,233,1,At Risk,Critical
12507.0,134,21,1304.81,299,1,At Risk,Critical
12508.0,26,69,398.27,29,0,Champions,Low
12509.0,284,7,176.5,284,1,At Risk,Critical
12510.0,143,33,982.5699999999999,325,1,At Risk,Critical
12512.0,66,34,138.03,66,0,Champions,High
12513.0,113,35,612.29,113,1,At Risk,Critical
12514.0,267,51,1017.68,267,1,At Risk,Critical
12515.0,353,16,383.7,353,1,At Risk,Critical
12516.0,78,26,1312.06,181,1,At Risk,High
12517.0,28,284,2502.84,190,2,Promising,Low
12518.0,1,124,2056.89,110,2,Promising,Low
12519.0,64,18,340.84,64,0,Champions,High
12520.0,79,152,2634.26,274,2,Promising,High
12521.0,143,38,599.68,143,1,At Risk,Critical
12522.0,39,12,192.72,51,0,Champions,Medium
12523.0,19,106,1789.77,332,2,Promising,Low
12524.0,9,144,4485.72,334,2,Promising,Low
12526.0,1,71,1316.66,94,2,Promising,Low
12527.0,82,18,348.71000000000004,326,1,At Risk,High
12528.0,9,92,1933.48,313,2,Promising,Low
12530.0,60,66,1662.28,337,2,Promising,Medium
12531.0,15,17,125.22,15,0,Champions,Low
12532.0,30,16,349.83000000000004,30,0,Champions,Low
12534.0,131,63,1089.18,131,1,At Risk,Critical
12535.0,92,34,716.35,187,1,At Risk,Critical
12536.0,43,261,12601.830000000002,59,2,Promising,Medium
12538.0,29,21,363.95,29,0,Champions,Low
12539.0,22,273,5568.35,334,2,Promising,Low
12540.0,20,478,13400.24,362,2,Promising,Low
12541.0,30,52,981.18,281,2,Promising,Low
12544.0,36,19,372.7,36,0,Champions,Medium
12545.0,75,50,1000.39,260,1,At Risk,High
12546.0,47,69,1161.5,78,0,Champions,Medium
12547.0,198,8,207.79999999999998,281,1,At Risk,Critical
12548.0,166,5,95.19999999999999,166,1,At Risk,Critical
12550.0,79,57,964.83,79,0,Champions,High
12551.0,358,10,168.0,358,1,At Risk,Critical
12552.0,39,20,437.82,40,0,Champions,Medium
12553.0,8,191,3692.28,330,2,Promising,Low
12556.0,50,121,603.71,151,2,Promising,Medium
12557.0,16,28,11370.960000000001,333,2,Promising,Low
12558.0,8,11,269.96,8,0,Champions,Low
12559.0,311,21,561.71,320,1,At Risk,Critical
12560.0,5,105,2134.01,143,2,Promising,Low
12561.0,303,16,238.85,303,1,At Risk,Critical
12562.0,8,168,3781.7400000000002,199,2,Promising,Low
12564.0,261,21,456.9,261,1,At Risk,Critical
12565.0,289,9,145.92,289,1,At Risk,Critical
12566.0,86,19,351.65,86,1,At Risk,High
12567.0,23,363,7458.9,309,2,Promising,Low
12569.0,2,188,4124.69,252,2,Promising,Low
12571.0,40,34,519.61,122,1,At Risk,Medium
12572.0,9,60,1020.42,52,0,Champions,Low
12573.0,227,28,160.54000000000002,227,1,At Risk,Critical
12574.0,316,11,218.45,316,1,At Risk,Critical
12576.0,36,88,1315.83,305,2,Promising,Medium
12577.0,35,147,657.8,359,2,Promising,Medium
12578.0,21,114,2794.51,330,2,Promising,Low
12579.0,78,29,440.42,78,0,Champions,High
12580.0,247,24,415.7,247,1,At Risk,Critical
12581.0,40,15,197.71,40,0,Champions,Medium
12582.0,239,22,511.36,289,1,At Risk,Critical
12583.0,3,227,6425.5199999999995,337,2,Promising,Low
12584.0,4,96,2338.15,280,2,Promising,Low
12585.0,234,87,2040.1,351,1,At Risk,Critical
12586.0,17,11,196.94000000000003,17,0,Champions,Low
12587.0,8,4,144.0,8,0,Champions,Low
12588.0,39,10,214.89999999999998,39,0,Champions,Medium
12589.0,29,35,646.68,145,1,At Risk,Low
12590.0,211,68,9864.26,211,2,Promising,Critical
12591.0,317,26,452.84999999999997,317,1,At Risk,Critical
12592.0,92,18,437.6,213,1,At Risk,Critical
12593.0,109,21,418.09999999999997,219,1,At Risk,Critical
12594.0,38,118,3338.2200000000003,323,2,Promising,Medium
12596.0,51,27,618.27,242,1,At Risk,Medium
12597.0,19,206,3811.22,268,2,Promising,Low
12598.0,10,132,3023.08,285,2,Promising,Low
12599.0,29,62,1032.58,304,2,Promising,Low
12600.0,29,62,2522.54,358,2,Promising,Low
12601.0,190,28,577.0600000000001,333,1,At Risk,Critical
12602.0,59,12,153.12,59,0,Champions,Medium
12603.0,22,2,739.1999999999999,22,0,Champions,Low
12604.0,79,16,254.18,262,1,At Risk,High
12607.0,60,101,1579.51,60,0,Champions,Medium
12609.0,78,60,1126.85,318,2,Promising,High
12610.0,23,106,2099.54,126,2,Promising,Low
12611.0,52,65,1193.32,52,0,Champions,Medium
12612.0,74,19,704.0400000000001,74,0,Champions,High
12613.0,57,153,3344.38,262,2,Promising,Medium
12614.0,278,20,315.6,278,1,At Risk,Critical
12615.0,2,105,2291.19,168,2,Promising,Low
12616.0,95,32,713.3,297,1,At Risk,Critical
12617.0,29,42,355.53,29,0,Champions,Low
12618.0,22,11,177.31,22,0,Champions,Low
12619.0,16,90,3641.24,253,2,Promising,Low
12620.0,15,92,1339.41,205,2,Promising,Low
12621.0,2,453,13225.06,358,2,Promising,Low
12622.0,232,11,180.1,232,1,At Risk,Critical
12623.0,276,18,305.1,276,1,At Risk,Critical
12624.0,106,38,641.13,178,1,At Risk,Critical
12625.0,212,86,2683.82,319,2,Promising,Critical
12626.0,23,294,6620.48,327,2,Promising,Low
12627.0,11,230,4478.53,140,2,Promising,Low
12628.0,4,41,786.46,65,0,Champions,Low
12630.0,10,64,1270.88,44,0,Champions,Low
12631.0,57,31,640.5,57,0,Champions,Medium
12633.0,59,101,2163.98,288,2,Promising,Medium
12635.0,90,101,1689.18,155,2,Promising,High
12637.0,67,390,6021.9,324,2,Promising,High
12638.0,33,39,671.69,33,0,Champions,Medium
12639.0,239,22,486.1,239,1,At Risk,Critical
12640.0,24,53,1174.58,82,0,Champions,Low
12641.0,115,10,185.9,115,1,At Risk,Critical
12642.0,25,47,1013.26,108,2,Promising,Low
12643.0,128,24,3344.64,333,1,At Risk,Critical
12644.0,130,31,477.91,130,1,At Risk,Critical
12645.0,34,73,1775.18,316,2,Promising,Medium
12646.0,5,45,1346.97,49,0,Champions,Low
12647.0,22,86,2754.02,358,2,Promising,Low
12648.0,155,21,318.05,155,1,At Risk,Critical
12649.0,107,31,623.51,212,1,At Risk,Critical
12650.0,3,20,314.44,3,0,Champions,Low
12651.0,335,9,114.0,335,1,At Risk,Critical
12652.0,331,48,919.98,331,1,At Risk,Critical
12653.0,149,43,2209.85,297,1,At Risk,Critical
12654.0,11,38,601.98,295,2,Promising,Low
12656.0,17,126,4051.17,234,2,Promising,Low
12657.0,11,47,1643.18,79,2,Promising,Low
12658.0,19,36,686.05,19,0,Champions,Low
12659.0,30,5,91.68,30,0,Champions,Low
12660.0,11,13,245.1,11,0,Champions,Low
12662.0,1,215,3588.3,309,2,Promising,Low
12664.0,8,37,4881.88,323,2,Promising,Low
12665.0,325,3,63.0,325,1,At Risk,Critical
12667.0,58,33,620.13,58,0,Champions,Medium
12668.0,12,161,3807.15,356,2,Promising,Low
12669.0,151,101,2744.0299999999997,257,2,Promising,Critical
12670.0,10,92,2996.05,233,2,Promising,Low
12672.0,330,10,225.89999999999998,330,1,At Risk,Critical
12673.0,5,42,610.52,327,2,Promising,Low
12674.0,39,83,1970.6,208,2,Promising,Medium
12676.0,25,45,1331.39,311,2,Promising,Low
12678.0,42,165,17628.46,354,2,Promising,Medium
12679.0,59,48,1113.02,284,2,Promising,Medium
12680.0,1,52,862.81,113,2,Promising,Low
12681.0,15,597,12754.02,354,2,Promising,Low
12682.0,4,509,11951.98,365,2,Promising,Low
12683.0,4,290,7413.49,326,2,Promising,Low
12684.0,8,105,2283.63,213,2,Promising,Low
12685.0,28,157,2863.08,94,2,Promising,Low
12688.0,114,171,4873.8099999999995,114,2,Promising,Critical
12689.0,26,72,1247.61,128,2,Promising,Low
12690.0,206,16,389.01,206,1,At Risk,Critical
12691.0,28,32,1035.8,357,2,Promising,Low
12693.0,127,39,855.91,319,1,At Risk,Critical
12694.0,70,37,869.67,183,1,At Risk,High
12695.0,7,27,582.1,210,2,Promising,Low
12697.0,29,41,957.59,169,2,Promising,Low
12700.0,8,268,4939.99,215,2,Promising,Low
12701.0,80,53,797.71,242,1,At Risk,High
12702.0,20,12,219.0,20,0,Champions,Low
12703.0,71,21,283.55,71,0,Champions,High
12704.0,7,88,2340.84,170,2,Promising,Low
12705.0,15,334,6868.29,357,2,Promising,Low
12707.0,292,33,603.42,292,1,At Risk,Critical
12708.0,30,143,2516.47,330,2,Promising,Low
12709.0,15,201,9213.82,358,2,Promising,Low
12710.0,97,77,1149.02,201,2,Promising,Critical
12712.0,29,113,3925.5,332,2,Promising,Low
12713.0,1,38,848.55,1,0,Champions,Low
12714.0,9,259,4708.86,295,2,Promising,Low
12715.0,106,21,353.86,106,1,At Risk,Critical
12716.0,4,69,1053.49,133,2,Promising,Low
12717.0,151,55,1030.98,246,1,At Risk,Critical
12718.0,71,19,238.25,71,0,Champions,High
12719.0,5,39,644.95,65,0,Champions,Low
12720.0,3,324,5308.34,357,2,Promising,Low
12721.0,32,161,2656.13,355,2,Promising,Medium
12722.0,85,53,997.63,151,1,At Risk,High
12723.0,4,69,725.07,65,0,Champions,Low
12724.0,5,53,1031.41,332,2,Promising,Low
12726.0,28,124,2609.1,357,2,Promising,Low
12727.0,11,139,3980.7,320,2,Promising,Low
12728.0,71,46,836.33,332,1,At Risk,High
12729.0,114,26,453.01,114,1,At Risk,Critical
12731.0,24,274,18895.91,365,2,Promising,Low
12732.0,180,12,236.26000000000002,180,1,At Risk,Critical
12733.0,234,22,383.95,234,1,At Risk,Critical
12734.0,353,4,110.39999999999999,353,1,At Risk,Critical
12735.0,315,43,779.5699999999999,337,1,At Risk,Critical
12736.0,333,4,234.0,333,1,At Risk,Critical
12739.0,78,38,1013.04,99,1,At Risk,High
12740.0,64,27,427.6,64,0,Champions,High
12743.0,134,134,546.43,134,1,At Risk,Critical
12744.0,52,222,21279.29,318,2,Promising,Medium
12747.0,2,96,3837.45,362,2,Promising,Low
12748.0,1,4231,31752.68,365,2,Promising,Low
12749.0,4,199,4090.88,213,2,Promising,Low
12750.0,129,15,275.88,129,1,At Risk,Critical
12752.0,81,53,4366.78,81,2,Promising,High
12753.0,23,197,21429.39,363,2,Promising,Low
12754.0,236,63,3010.74,309,2,Promising,Critical
12755.0,281,3,17.549999999999997,281,1,At Risk,Critical
12756.0,87,4,112.07999999999998,87,1,At Risk,High
12757.0,16,371,7857.1,211,2,Promising,Low
12758.0,117,97,2791.59,277,2,Promising,Critical
12759.0,52,95,1531.44,276,2,Promising,Medium
12762.0,8,69,1898.52,25,0,Champions,Low
12763.0,138,2,174.0,138,1,At Risk,Critical
12764.0,317,45,1693.88,317,1,At Risk,Critical
12766.0,4,257,5840.34,334,2,Promising,Low
12769.0,239,32,1143.6,239,1,At Risk,Critical
12770.0,211,12,1351.45,211,1,At Risk,Critical
12772.0,60,55,892.47,60,0,Champions,Medium
12775.0,17,66,1386.04,311,2,Promising,Low
12778.0,20,50,822.23,312,2,Promising,Low
12779.0,38,141,3733.2,327,2,Promising,Medium
12781.0,64,25,826.74,285,1,At Risk,High
12782.0,5,103,2330.92,358,2,Promising,Low
12783.0,2,84,2225.91,75,2,Promising,Low
12784.0,9,59,574.42,15,0,Champions,Low
12785.0,364,14,311.95,364,1,At Risk,Critical
12787.0,10,20,463.66,193,0,Champions,Low
12789.0,65,4,91.85,65,0,Champions,High
12790.0,192,21,324.92,192,1,At Risk,Critical
12792.0,257,25,400.53999999999996,257,1,At Risk,Critical
12793.0,335,17,413.68,335,1,At Risk,Critical
12794.0,53,45,860.41,99,0,Champions,Medium
12795.0,19,14,430.48,19,0,Champions,Low
12798.0,10,8,6977.04,171,2,Promising,Low
12802.0,187,25,427.58,187,1,At Risk,Critical
12808.0,37,21,354.25,185,1,At Risk,Medium
12809.0,178,25,489.31,178,1,At Risk,Critical
12811.0,261,31,514.85,284,1,At Risk,Critical
12812.0,45,15,229.64000000000001,45,0,Champions,Medium
12814.0,102,2,125.92,102,1,At Risk,Critical
12815.0,148,47,1063.46,198,1,At Risk,Critical
12816.0,96,29,572.2,176,1,At Risk,Critical
12817.0,281,4,166.04,281,1,At Risk,Critical
12818.0,262,14,1542.08,262,1,At Risk,Critical
12820.0,3,59,942.34,327,2,Promising,Low
12821.0,214,6,92.72,214,1,At Risk,Critical
12822.0,71,46,948.88,87,0,Champions,High
12823.0,75,5,1759.5,297,1,At Risk,High
12824.0,60,25,397.12,60,0,Champions,Medium
12826.0,3,91,1474.72,365,2,Promising,Low
12827.0,6,25,430.15000000000003,44,0,Champions,Low
12828.0,3,56,1018.71,130,2,Promising,Low
12829.0,337,11,293.0,360,1,At Risk,Critical
12830.0,38,38,6814.64,172,2,Promising,Medium
12831.0,262,9,215.05,262,1,At Risk,Critical
12832.0,32,27,383.03,98,0,Champions,Medium
12833.0,145,24,417.38,145,1,At Risk,Critical
12834.0,283,18,312.38,283,1,At Risk,Critical
12836.0,59,175,2612.86,312,2,Promising,Medium
12837.0,173,12,134.1,173,1,At Risk,Critical
12838.0,34,64,292.34000000000003,34,0,Champions,Medium
12839.0,3,292,5188.81,357,2,Promising,Low
12840.0,144,113,2726.77,227,2,Promising,Critical
12841.0,5,373,3516.36,337,2,Promising,Low
12842.0,70,34,1118.99,309,1,At Risk,High
12843.0,66,103,1702.26,264,2,Promising,High
12844.0,29,52,325.96000000000004,130,0,Champions,Low
12845.0,267,27,354.09,290,1,At Risk,Critical
12847.0,22,91,871.54,22,0,Champions,Low
12849.0,31,51,1050.8899999999999,269,2,Promising,Medium
12851.0,97,50,135.18,97,1,At Risk,Critical
12852.0,295,17,311.55,295,1,At Risk,Critical
12853.0,135,78,1957.1000000000001,316,2,Promising,Critical
12854.0,79,110,1324.5,318,2,Promising,High
12856.0,8,314,2179.93,64,2,Promising,Low
12857.0,211,46,1106.4,303,1,At Risk,Critical
12863.0,52,5,521.2,52,0,Champions,Medium
12864.0,138,3,147.12,138,1,At Risk,Critical
12865.0,26,95,1568.23,124,2,Promising,Low
12866.0,283,26,559.12,283,1,At Risk,Critical
12867.0,26,538,4036.82,360,2,Promising,Low
12868.0,186,95,1403.76,331,1,At Risk,Critical
12871.0,84,11,380.64,207,1,At Risk,High
12872.0,327,66,599.97,365,1,At Risk,Critical
12873.0,282,4,374.0,282,1,At Risk,Critical
12875.0,143,2,343.2300000000001,363,1,At Risk,Critical
12876.0,58,85,2218.02,196,2,Promising,Medium
12877.0,4,154,1535.77,359,2,Promising,Low
12878.0,236,47,854.99,266,1,At Risk,Critical
12879.0,45,10,573.22,92,0,Champions,Medium
12881.0,276,7,298.0,276,1,At Risk,Critical
12882.0,9,13,1463.04,34,0,Champions,Low
12883.0,25,42,703.47,89,0,Champions,Low
12884.0,88,7,309.05,88,1,At Risk,High
12885.0,63,71,1175.22,124,2,Promising,High
12886.0,68,82,1378.4,220,2,Promising,High
12888.0,214,5,354.12,255,1,At Risk,Critical
12890.0,24,82,380.46999999999997,24,0,Champions,Low
12891.0,186,3,331.0,293,1,At Risk,Critical
12893.0,31,34,188.14,31,0,Champions,Medium
12895.0,42,22,372.8,87,0,Champions,Medium
12897.0,205,4,216.5,302,1,At Risk,Critical
12901.0,9,116,17654.54,271,2,Promising,Low
12902.0,265,10,138.68,265,1,At Risk,Critical
12904.0,18,72,509.58,172,2,Promising,Low
12906.0,12,63,2919.81,78,2,Promising,Low
12908.0,176,2,750.0,313,1,At Risk,Critical
12909.0,40,91,2178.67,253,2,Promising,Medium
12910.0,23,75,3075.04,242,2,Promising,Low
12912.0,3,24,1662.3,41,0,Champions,Low
12913.0,5,46,2066.01,301,2,Promising,Low
12915.0,149,9,164.0,149,1,At Risk,Critical
12916.0,139,107,3006.15,321,2,Promising,Critical
12917.0,128,2,594.0,128,1,At Risk,Critical
12919.0,8,50,1335.19,170,2,Promising,Low
12920.0,17,28,164.23,17,0,Champions,Low
12921.0,9,685,15899.29,339,2,Promising,Low
12922.0,161,28,405.38,161,1,At Risk,Critical
12923.0,64,29,176.97,64,0,Champions,High
12924.0,88,30,933.7,328,1,At Risk,High
12925.0,5,45,694.05,75,0,Champions,Low
12928.0,35,84,2062.7000000000003,359,2,Promising,Medium
12929.0,312,8,117.85,312,1,At Risk,Critical
12930.0,78,25,415.8,171,1,At Risk,High
12931.0,22,82,42055.96,358,2,Promising,Low
12933.0,24,106,607.53,284,2,Promising,Low
12935.0,2,129,2160.7,319,2,Promising,Low
12936.0,17,62,1063.9,78,0,Champions,Low
12937.0,15,120,1504.27,267,2,Promising,Low
12938.0,26,9,114.14,26,0,Champions,Low
12939.0,64,47,11581.8,335,2,Promising,High
12940.0,55,99,913.54,88,2,Promising,Medium
12942.0,131,59,425.15,198,1,At Risk,Critical
12944.0,36,30,604.51,355,1,At Risk,Medium
12945.0,288,23,462.95,288,1,At Risk,Critical
12947.0,144,80,1299.95,337,1,At Risk,Critical
12948.0,16,116,2064.95,265,2,Promising,Low
12949.0,31,215,4167.22,252,2,Promising,Medium
12950.0,2,23,1843.0,24,0,Champions,Low
12951.0,9,63,1064.07,331,2,Promising,Low
12952.0,6,79,1387.79,78,2,Promising,Low
12953.0,10,17,329.85,10,0,Champions,Low
12955.0,1,180,4757.16,268,2,Promising,Low
12956.0,306,19,108.07,306,1,At Risk,Critical
12957.0,10,238,4017.54,340,2,Promising,Low
12962.0,7,16,266.39,113,0,Champions,Low
12963.0,8,79,1490.83,85,2,Promising,Low
12965.0,89,109,771.91,89,1,At Risk,High
12966.0,10,10,160.18,10,0,Champions,Low
12967.0,358,4,292.5,358,1,At Risk,Critical
12968.0,112,5,135.95,112,1,At Risk,Critical
12970.0,7,151,452.24,322,2,Promising,Low
12971.0,4,287,10921.72,358,2,Promising,Low
12974.0,198,8,144.8,198,1,At Risk,Critical
12976.0,212,22,738.6,212,1,At Risk,Critical
12977.0,156,9,39.239999999999995,156,1,At Risk,Critical
12980.0,158,20,7374.900000000001,359,2,Promising,Critical
12981.0,30,20,372.21999999999997,133,1,At Risk,Low
12982.0,243,28,390.54,243,1,At Risk,Critical
12984.0,19,4,97.5,19,0,Champions,Low
12985.0,1,76,1239.38,29,0,Champions,Low
12987.0,74,28,558.7,198,1,At Risk,High
12988.0,292,92,535.32,292,1,At Risk,Critical
12989.0,3,64,6924.110000000001,364,2,Promising,Low
12990.0,31,13,409.5,310,1,At Risk,Medium
12991.0,23,31,503.76,112,0,Champions,Low
12993.0,23,27,414.76,298,1,At Risk,Low
12994.0,4,61,974.4200000000001,269,2,Promising,Low
12995.0,85,3,211.32,85,1,At Risk,High
12997.0,22,59,1226.89,317,2,Promising,Low
12999.0,196,28,455.88,246,1,At Risk,Critical
13000.0,107,31,534.85,365,1,At Risk,Critical
13001.0,4,339,9818.82,327,2,Promising,Low
13002.0,318,7,120.94999999999999,318,1,At Risk,Critical
13003.0,106,6,149.05,215,1,At Risk,Critical
13004.0,12,404,5655.91,358,2,Promising,Low
13005.0,174,26,513.7,246,1,At Risk,Critical
13006.0,56,4,81.57,56,0,Champions,Medium
13008.0,323,14,229.46999999999997,323,1,At Risk,Critical
13012.0,9,89,1661.8400000000001,295,2,Promising,Low
13013.0,1,152,3282.6,249,2,Promising,Low
13014.0,11,109,3466.2799999999997,281,2,Promising,Low
13015.0,53,176,3346.28,249,2,Promising,Medium
13016.0,73,47,789.89,123,1,At Risk,High
13017.0,7,1,204.0,7,0,Champions,Low
13018.0,16,458,7277.7,296,2,Promising,Low
13021.0,4,131,2616.38,359,2,Promising,Low
13023.0,64,40,689.9,130,1,At Risk,High
13026.0,1,40,975.36,276,2,Promising,Low
13027.0,114,26,6912.0,355,2,Promising,Critical
13028.0,23,45,661.3199999999999,45,0,Champions,Low
13029.0,31,10,1247.5,353,1,At Risk,Medium
13030.0,11,39,371.74,11,0,Champions,Low
13032.0,52,71,1010.18,87,0,Champions,Medium
13033.0,357,11,190.55,357,1,At Risk,Critical
13034.0,55,26,476.90999999999997,55,0,Champions,Medium
13035.0,74,27,921.88,261,1,At Risk,High
13037.0,138,48,881.07,256,1,At Risk,Critical
13038.0,80,28,908.46,291,1,At Risk,High
13040.0,9,43,676.99,33,0,Champions,Low
13043.0,273,13,516.42,273,1,At Risk,Critical
13044.0,291,33,560.47,291,1,At Risk,Critical
13045.0,99,18,305.28000000000003,99,1,At Risk,Critical
13046.0,31,35,629.31,266,1,At Risk,Medium
13047.0,32,155,2870.91,309,2,Promising,Medium
13048.0,14,136,1835.91,327,2,Promising,Low
13049.0,64,14,656.6800000000001,318,1,At Risk,High
13050.0,15,385,5508.85,361,2,Promising,Low
13052.0,212,18,348.15000000000003,212,1,At Risk,Critical
13055.0,78,76,1214.41,214,2,Promising,High
13058.0,25,8,271.40000000000003,152,1,At Risk,Low
13059.0,250,8,183.4,250,1,At Risk,Critical
13060.0,254,15,307.53,254,1,At Risk,Critical
13061.0,72,10,248.61,72,0,Champions,High
13062.0,191,11,346.98,191,1,At Risk,Critical
13064.0,13,69,1119.49,327,2,Promising,Low
13066.0,24,48,470.8,32,0,Champions,Low
13067.0,82,15,115.46000000000001,82,0,Champions,High
13068.0,10,2,344.0,320,1,At Risk,Low
